lambda	signal	smoothed_signal	increasing	local optima
4.84968e-07	0.218413	0.2205579390521916		
4.85449e-07	0.219245	0.22079541950539094		
4.85929e-07	0.2201	0.22110782215371685		
4.86409e-07	0.220927	0.22148465915925666		
4.86889e-07	0.221826	0.22191270371571203		
4.87369e-07	0.222668	0.22237662504957312		
4.87849e-07	0.223312	0.22286197568174723		
4.88329e-07	0.223873	0.22335825575105478		
4.88809e-07	0.224418	0.2238578582060589		
4.89289e-07	0.224851	0.2243550412161534		
4.89769e-07	0.225178	0.22484680133979856		
4.90249e-07	0.225481	0.22533231074748056		
4.90729e-07	0.225778	0.2258114846191011		
4.91209e-07	0.226123	0.2262844460990592		
4.91689e-07	0.226574	0.22675061054088844		
4.92169e-07	0.227053	0.22720775720532657		
4.92649e-07	0.227494	0.2276527162294174		
4.93129e-07	0.228007	0.2280819146171597		
4.93609e-07	0.228678	0.22849006383927492		
4.94089e-07	0.229406	0.228869490592328		
4.94569e-07	0.230073	0.229211869449918		
4.9505e-07	0.230669	0.2295099104534058		
4.9553e-07	0.231175	0.22975800471015503		
4.9601e-07	0.231547	0.22995230598787247		
4.9649e-07	0.231808	0.23009145071848586		
4.9697e-07	0.232018	0.2301752338414251		
4.9745e-07	0.232167	0.23020574288665863		
4.9793e-07	0.232186	0.23018468416090365		
4.9841e-07	0.23209	0.2301100152317985		
4.9889e-07	0.231879	0.22997755062085776		
4.9937e-07	0.231547	0.22978490943686739		
4.9985e-07	0.230847	0.22953023646125015		
5.0033e-07	0.229112	0.22921546600674328		
5.0081e-07	0.228428	0.22885376276434863		
5.0129e-07	0.228567	0.22845255272368092		
5.0177e-07	0.228596	0.2280106328058654		
5.0225e-07	0.228479	0.22752593395973975		
5.0273e-07	0.22822	0.22699613417206943		
5.0321e-07	0.227809	0.226419030960461		
5.0369e-07	0.227213	0.22579322760762993		
5.0417e-07	0.226425	0.22511957471184832		
5.0465e-07	0.225474	0.22440266152918253		
5.05131e-07	0.224402	0.22365173311673048		
5.05611e-07	0.223232	0.22288088278513152		
5.06091e-07	0.221994	0.2221089038558202		
5.06571e-07	0.220742	0.2213580260364299		
5.07051e-07	0.219546	0.22065114244546774		
5.07531e-07	0.218455	0.22000841110339123		
5.08011e-07	0.217493	0.21944501479454773		
5.08491e-07	0.216682	0.2189704370823953		
5.08971e-07	0.216056	0.21858864879526038		
5.09451e-07	0.21564	0.21829887493110384		
5.09931e-07	0.215434	0.21809691946274654		
5.10411e-07	0.215409	0.21797664080436427		
5.10891e-07	0.215534	0.21793110651608397		
5.11371e-07	0.21579	0.21795530228730323		
5.11851e-07	0.21616	0.21805417613498712		
5.12331e-07	0.216615	0.21823069864173303		
5.12811e-07	0.217115	0.2184851313238224		
5.13291e-07	0.21762600000000001	0.2188152553384553		
5.13771e-07	0.218142	0.2192170874476813		
5.14251e-07	0.218676	0.21968565150074446		
5.14731e-07	0.219251	0.22021545822214517		
5.15212e-07	0.21988	0.22080054951866696		
5.15692e-07	0.220569	0.22143434249488325		
5.16172e-07	0.221331	0.22210935037802665		
5.16652e-07	0.222181	0.22281659583849045		
5.17132e-07	0.223133	0.22354484045892914		
5.17612e-07	0.22418	0.22427984974584814		
5.18092e-07	0.225288	0.22500444667680997		
5.18572e-07	0.226412	0.2256998050690163		
5.19052e-07	0.227497	0.22634756553675917		
5.19532e-07	0.228498	0.22693224688416755		
5.20012e-07	0.229378	0.22744291627261834		
5.20492e-07	0.230105	0.22787383996192817		
5.20972e-07	0.230655	0.2282241761254765		
5.21452e-07	0.23100300000000001	0.22849697912062936		
5.21932e-07	0.231137	0.22869792788305845		
5.22412e-07	0.231066	0.22883407488502128		
5.22892e-07	0.23082	0.22891271858002166		
5.23372e-07	0.230447	0.22894079491301236		
5.23852e-07	0.229996	0.22892180003137497		
5.24332e-07	0.229517	0.22885517724032362		
5.24812e-07	0.229053	0.22874514622098127		
5.25293e-07	0.228636	0.22859740936391876		
5.25773e-07	0.228288	0.22841814342856673		
5.26253e-07	0.22802	0.22821316994242016		
5.26733e-07	0.227833	0.2279873878189706		
5.27213e-07	0.227718	0.2277445644985809		
5.27693e-07	0.22765	0.2274874038782731		
5.28173e-07	0.227594	0.2272178698988099		
5.28653e-07	0.227511	0.22693767860458977		
5.29133e-07	0.227361	0.2266489082261974		
5.29613e-07	0.227114	0.22635470621573509		
5.30093e-07	0.226749	0.22605999266499333		
5.30573e-07	0.22626	0.2257720633172895		
5.31053e-07	0.22566	0.2255008448589016		
5.31533e-07	0.224973	0.22525850355195204		
5.32013e-07	0.224238	0.22505826503706883		
5.32493e-07	0.2235	0.22491250085358813		
5.32973e-07	0.222813	0.2248306036541126		
5.33453e-07	0.222238	0.22481736700926472		
5.33933e-07	0.221832	0.22486811430376114		
5.34413e-07	0.221648	0.22499164264585297		
5.34893e-07	0.221727	0.22520067539236713		
5.35374e-07	0.222095	0.22550902155188424		
5.35854e-07	0.222757	0.22593020003783665		
5.36334e-07	0.223694	0.22647509744884056		
5.36814e-07	0.224873	0.22714883688196305		
5.37294e-07	0.226246	0.2279474714856719		
5.37774e-07	0.227754	0.228855784322521		
5.38254e-07	0.229337	0.2298475520506546		
5.38734e-07	0.230935	0.23088858984088037		
5.39214e-07	0.232493	0.2319417982714526		
5.39694e-07	0.233965	0.23297243842564755		
5.40174e-07	0.235312	0.2339519964906463		
5.40654e-07	0.236506	0.2348600695855539		
5.41134e-07	0.237533	0.23568433713601014		
5.41614e-07	0.238386	0.23641924281182294		
5.42094e-07	0.23907	0.23706430369464815		
5.42574e-07	0.239596	0.23762239665128326		
