Wavelength (nm),Absorbance,Color,Concentration,Smoothed Absorbance,webcolor
622.6141078838175,0.2512295081967213,black,0,0.2507759904910013,#000000
623.1327800829876,0.2520491803278688,black,0,0.251696176919106,#000000
623.6514522821577,0.25286885245901636,black,0,0.25261346934565526,#000000
624.1701244813278,0.2536885245901639,black,0,0.2535274048514738,#000000
624.688796680498,0.2545081967213115,black,0,0.2544374837374436,#000000
625.2074688796681,0.255327868852459,black,0,0.2553432709370046,#000000
625.7261410788382,0.25614754098360654,black,0,0.2562440555783124,#000000
626.2448132780083,0.25696721311475407,black,0,0.2571382536029672,#000000
626.7634854771784,0.2577868852459016,black,0,0.2580241949523557,#000000
627.2821576763486,0.2586065573770492,black,0,0.25890071458210406,#000000
627.8008298755187,0.2594262295081967,black,0,0.2597674157911102,#000000
628.3195020746888,0.2610655737704918,black,0,0.2606245294659659,#000000
628.838174273859,0.2618852459016393,black,0,0.26147220054274434,#000000
629.356846473029,0.26270491803278684,black,0,0.2623104752428811,#000000
629.8755186721992,0.2635245901639344,black,0,0.2631394881926138,#000000
630.3941908713693,0.26434426229508196,black,0,0.2639596711238088,#000000
630.9128630705394,0.2651639344262295,black,0,0.26477107294384666,#000000
631.4315352697096,0.265983606557377,black,0,0.26557354903245656,#000000
631.9502074688796,0.26680327868852455,black,0,0.26636657480961773,#000000
632.4688796680498,0.26762295081967213,black,0,0.26714898422191335,#000000
632.98755186722,0.26844262295081966,black,0,0.2679194411263662,#000000
